#entry_id	catalog	external_id	q	matched_on	lat	lon
181535164	6860		Q0	20250424172433		
181517578	6860	11	Q1296587	20250423060301	32.7333333333	-16.6833333333
181517579	6860	12	Q1658452	20250423060326	33.0166666667	-16.3666666667
181517580	6860	17	Q690347	20250423060335	36.1416666667	-5.34583333333
181517581	6860	18	Q36124	20250423060341	36.0666666667	-5.33333333333
181517582	6860	19	Q12431	20250422223326	42.5833333333	1.58333333333
181517583	6860	21	Q909107	20250423060425	35.3246666667	33.5333333333
181517584	6860	24			34.7153333333	32.5155
181517585	6860	25			34.980833333333	32.3605
181517586	6860	26	Q24913392	20250423060448	35.0281666667	32.6735
181517587	6860	27			34.9426666667	33.0515
181517588	6860	29	Q1672526	20250423060454	34.9893333333	32.6816666667
181517589	6860	30	Q2915622	20250423060500	34.879833333333	33.616166666667
181517590	6860	33	Q22991976	20250423060511	34.6548333333	32.6816666667
181517591	6860	34			34.8135	32.627166666667
181517592	6860	35	Q157290	20250423060518	48.9333333333	13.6666666667
181517593	6860	36	Q109558276	20250422223337	49	14.7666666667
181517594	6860	37			49	14.2833333333
181517595	6860	38	Q23812636	20250502004956	49.25	14.0833333333
181517596	6860	39	Q10272916	20250422223337	50.1666666667	15.3166666667
181517597	6860	40	Q819267	20250422223337	48.8166666667	16.6666666667
181517598	6860	41			48.7	16.9666666667
181517599	6860	42	Q15730024	20250422223340	48.7666666667	16.7166666667
181517600	6860	43			48.9	16.6
181517601	6860	44	Q16897355	20250423060559	36.0333333333	14.2333333333
181517602	6860	45			35.8666666667	14.4
181517603	6860	46			35.7666666667	14.4166666667
181517604	6860	47	Q15272092	20250423060603	36	14.3666666667
181517605	6860	48			73.5666666667	-20.75
181517606	6860	49			73.5	-22
181517607	6860	50	Q21857387	20250423060608	75.45	-20
181517608	6860	51	Q3216333	20250422223345	81.25	-13.5
181517609	6860	52			71.6666666667	-23.3666666667
181517610	6860	53			71.6166666667	-23.1166666667
181517611	6860	54			71.3666666667	-24.7833333333
181517612	6860	55	Q2242546	20250422223345	71	-24.1166666667
181517613	6860	56			71	-21.6666666667
181517614	6860	57			70.1666666667	-23.3666666667
181517615	6860	58			60.75	-48.5
181517616	6860	59			62.7166666667	-50.1666666667
181517617	6860	60			66	-52.55
181517618	6860	61			65.6666666667	-52.6166666667
181517619	6860	62	Q24822894	20250423060643	65.4166666667	-52.1666666667
181517620	6860	63	Q24829621	20250422223352	67	-52.3166666667
181517621	6860	64			67.4166666667	-51
181517622	6860	65			68.8666666667	-53.3666666667
181517623	6860	66			68.4166666667	-51.75
181517624	6860	67	Q24830926	20250422223355	68.8166666667	-51.8166666667
181517625	6860	68	Q7336708	20250422223355	69.8	-51.2166666667
181517626	6860	69			69.7	-52.25
181517627	6860	70			69.0666666667	-53.5166666667
181517628	6860	71			69.9166666667	-54.2666666667
181517629	6860	72			74.0166666667	-57.8166666667
181517630	6860	73			73.25	-56.8166666667
181517631	6860	74			73.7666666667	-56.75
181517632	6860	75	Q24842482	20250423060707	76.0666666667	-68.4166666667
181517633	6860	76			76.1666666667	-68.5
181517634	6860	77	Q2227592	20250423060754	76.5666666667	-70.05
181517635	6860	78	Q18907778	20250423060822	76.7166666667	-73.0666666667
181517636	6860	79	Q3782490	20250423060836	77.4166666667	-72.6166666667
181517637	6860	80			76.8666666667	-70.8166666667
181517638	6860	81			76.4666666667	-70.2166666667
181517639	6860	82			76.5	-70.0666666667
181517640	6860	83	Q213372	20250422223404	62.1	-7.61666666667
181517641	6860	84	Q207675	20250423060909	62.0666666667	-7.25
181517642	6860	85	Q192540	20250423060914	62.1166666667	-7
181517643	6860	86	Q200939	20250422223407	62.2166666667	-6.91666666667
181517644	6860	87	Q212043	20250422223407	62.3	-6.75
181517645	6860	88	Q212033	20250423060933	62.3	-6.66666666667
181517646	6860	89	Q202170	20250423060941	62.25	-6.51666666667
181517647	6860	90	Q211982	20250423060945	62.3166666667	-6.5
181517648	6860	91	Q210313	20250502005034	62.3166666667	-6.3
181517649	6860	92	Q216848	20250423061000	62.25	-6.41666666667
181517650	6860	93	Q240071	20250423061007	61.9666666667	-6.61666666667
181517651	6860	94	Q208337	20250423061013	62	-6.96666666667
181517652	6860	95	Q208327	20250423061019	61.9666666667	-6.81666666667
181517653	6860	96	Q208321	20250423061034	61.85	-6.8
181517654	6860	97			61.8166666667	-6.81666666667
181517655	6860	98	Q216849	20250423061051	61.7666666667	-6.81666666667
